model,cost
moonshotai/kimi-k2-instruct,0.021
gpt-4o-mini,1.35
gpt-5-mini,1.5
gpt-5-nano,1.15
gpt-4.1-nano,1.25
gemini-2.5-flash,0.8
qwen/qwen-2.5-72b-instruct,0.012
qwen/qwen3-32b,0.011
qwen3.5:397b-cloud,0.013
gemma4:31b-cloud,0.0011
glm-5.2:cloud,0.02
gpt-oss:20b-cloud,0.011
kimi-k2.5:cloud,0.022
gemini-3-flash-preview:cloud,0.0011
GLM-4.7-Flash,0.011
GLM-4.5-Flash,0.011
GLM-4.6V-Flash,0.015
llama-3.3-70b-versatile,0.012
llama-3.1-8b-instant,0.010
deepseek-v4-pro:cloud,0.012
deepseek-v4-flash:cloud,0.011
gemma-4-31b,0.005
gemma-4-26b-it,0.005
glm-5.1:cloud,0.015
sarvam-30b,0.0001
