model,reasoning,tools,fast,cheap,informational,coding,vision,long,synthesizing,summarizing,planning,enabled
moonshotai/kimi-k2-instruct,True,False,True,False,False,False,False,True,True,True,False,True
gpt-4o-mini,True,True,True,True,True,True,True,True,True,True,False,True
gpt-5-mini,True,True,True,True,True,True,True,False,False,False,False,True
gpt-5-nano,False,True,True,True,False,False,True,False,True,True,False,True
gpt-4.1-nano,False,True,True,True,False,False,False,False,True,True,False,True
gemini-2.5-flash,True,True,True,True,True,True,True,True,True,True,True,True
qwen/qwen-2.5-72b-instruct,True,True,True,True,True,False,False,False,False,False,False,True
qwen/qwen3-32b,True,True,True,True,True,False,False,False,False,False,False,True
gemini-3-flash-preview:cloud,True,True,True,True,True,False,True,True,False,True,False,True
qwen3.5:397b-cloud,True,True,False,True,True,True,False,False,False,False,False,True
gemma4:31b-cloud,True,True,True,True,True,False,True,True,True,True,False,True
gemma-4-26b-it,True,False,True,True,True,False,True,True,True,True,False,False
gemma-4-31b,False,False,True,True,True,False,True,True,True,True,False,False
glm-5.2:cloud,True,True,False,False,True,True,False,True,True,True,False,True
gpt-oss:20b-cloud,True,True,False,True,False,False,False,True,False,False,False,True
kimi-k2.5:cloud,True,True,False,True,True,True,False,True,True,True,False,True
GLM-4.5-Flash,True,True,True,True,True,False,False,False,False,False,False,False
GLM-4.6V-Flash,True,True,True,True,True,False,False,False,False,False,False,True
GLM-4.7-Flash,True,True,True,True,True,False,False,False,False,False,False,True
llama-3.3-70b-versatile,false,True,True,False,True,True,False,True,True,True,True,True
llama-3.1-8b-instant,False,True,True,True,True,False,False,False,True,True,False,True
deepseek-v4-pro:cloud,True,True,False,True,True,True,False,True,True,True,True,True
deepseek-v4-flash,True,True,False,True,True,True,False,True,True,True,True,True
glm-5.1:cloud,True,True,False,False,True,True,False,True,True,True,True,True
sarvam-30b,True,True,False,False,True,True,False,True,True,True,false,True
